Salary, Target,		WageTaxClass, KVZ, PVZ, LZZ
5000,	0,			1,			  1.6,   1,	1
7500,	0,			1,			  1.6,   1,	1
10000,	0,			1,			  1.6,   1,	1
12500,	0,			1,			  1.6,   1,	1
15000,	0,			1,			  1.6,   1,	1
17500,	283,		1,			  1.6,   1,	1
20000,	723,		1,			  1.6,   1,	1
22500,	1199,		1,			  1.6,   1,	1
25000,	1700,		1,			  1.6,   1,	1
27500,	2217,		1,			  1.6,   1,	1
30000,	2750,		1,			  1.6,   1,	1
32500,	3298,		1,			  1.6,   1,	1
35000,	3862,		1,			  1.6,   1,	1
37500,	4442,		1,			  1.6,   1,	1
40000,	5038,		1,			  1.6,   1,	1
42500,	5649,		1,			  1.6,   1,	1
45000,	6277,		1,			  1.6,   1,	1
47500,	6920,		1,			  1.6,   1,	1
50000,	7579,		1,			  1.6,   1,	1
52500,	8254,		1,			  1.6,   1,	1
55000,	8945,		1,			  1.6,   1,	1
57500,	9651,		1,			  1.6,   1,	1
60000,	10378,		1,			  1.6,   1,	1
62500,	11206,		1,			  1.6,   1,	1
65000,	12053,		1,			  1.6,   1,	1
67500,	12920,		1,			  1.6,   1,	1
70000,	13807,		1,			  1.6,   1,	1
72500,	14714,		1,			  1.6,   1,	1
75000,	15640,		1,			  1.6,   1,	1
77500,	16586,		1,			  1.6,   1,	1
80000,	17538,		1,			  1.6,   1,	1
82500,	18490,		1,			  1.6,   1,	1
85000,	19442,		1,			  1.6,   1,	1
87500,	20395,		1,			  1.6,   1,	1
90000,	21441,		1,			  1.6,   1,	1
5000,	0,			2,			  1.6,   0,	1
7500,	0,			2,			  1.6,   0,	1
10000,	0,			2,			  1.6,   0,	1
12500,	0,			2,			  1.6,   0,	1
15000,	0,			2,			  1.6,   0,	1
17500,	0,			2,			  1.6,   0,	1
20000,	0,			2,			  1.6,   0,	1
22500,	296,		2,			  1.6,   0,	1
25000,	696,		2,			  1.6,   0,	1
27500,	1172,		2,			  1.6,   0,	1
30000,	1674,		2,			  1.6,   0,	1
32500,	2192,		2,			  1.6,   0,	1
35000,	2727,		2,			  1.6,   0,	1
37500,	3277,		2,			  1.6,   0,	1
40000,	3843,		2,			  1.6,   0,	1
42500,	4425,		2,			  1.6,   0,	1
45000,	5023,		2,			  1.6,   0,	1
47500,	5637,		2,			  1.6,   0,	1
50000,	6266,		2,			  1.6,   0,	1
52500,	6912,		2,			  1.6,   0,	1
55000,	7574,		2,			  1.6,   0,	1
57500,	8251,		2,			  1.6,   0,	1
60000,	8950,		2,			  1.6,   0,	1
62500,	9742,		2,			  1.6,   0,	1
65000,	10553,		2,			  1.6,   0,	1
67500,	11385,		2,			  1.6,   0,	1
70000,	12236,		2,			  1.6,   0,	1
72500,	13108,		2,			  1.6,   0,	1
75000,	13999,		2,			  1.6,   0,	1
77500,	14910,		2,			  1.6,   0,	1
80000,	15840,		2,			  1.6,   0,	1
82500,	16789,		2,			  1.6,   0,	1
85000,	17741,		2,			  1.6,   0,	1
87500,	18694,		2,			  1.6,   0,	1
90000,	19740,		2,			  1.6,   0,	1
5000,	0,			3,			  1.6,   1,	1
7500,	0,			3,			  1.6,   1,	1
10000,	0,			3,			  1.6,   1,	1
12500,	0,			3,			  1.6,   1,	1
15000,	0,			3,			  1.6,   1,	1
17500,	0,			3,			  1.6,   1,	1
20000,	0,			3,			  1.6,   1,	1
22500,	0,			3,			  1.6,   1,	1
25000,	0,			3,			  1.6,   1,	1
27500,	0,			3,			  1.6,   1,	1
30000,	164,		3,			  1.6,   1,	1
32500,	506,		3,			  1.6,   1,	1
35000,	874,		3,			  1.6,   1,	1
37500,	1282,		3,			  1.6,   1,	1
40000,	1730,		3,			  1.6,   1,	1
42500,	2214,		3,			  1.6,   1,	1
45000,	2708,		3,			  1.6,   1,	1
47500,	3210,		3,			  1.6,   1,	1
50000,	3720,		3,			  1.6,   1,	1
52500,	4238,		3,			  1.6,   1,	1
55000,	4764,		3,			  1.6,   1,	1
57500,	5296,		3,			  1.6,   1,	1
60000,	5842,		3,			  1.6,   1,	1
62500,	6458,		3,			  1.6,   1,	1
65000,	7084,		3,			  1.6,   1,	1
67500,	7718,		3,			  1.6,   1,	1
70000,	8364,		3,			  1.6,   1,	1
72500,	9020,		3,			  1.6,   1,	1
75000,	9684,		3,			  1.6,   1,	1
77500,	10360,		3,			  1.6,   1,	1
80000,	11044,		3,			  1.6,   1,	1
82500,	11738,		3,			  1.6,   1,	1
85000,	12444,		3,			  1.6,   1,	1
87500,	13158,		3,			  1.6,   1,	1
90000,	13954,		3,			  1.6,   1,	1
5000,	0,			4,			  1.6,   1,	1
7500,	0,			4,			  1.6,   1,	1
10000,	0,			4,			  1.6,   1,	1
12500,	0,			4,			  1.6,   1,	1
15000,	0,			4,			  1.6,   1,	1
17500,	283,		4,			  1.6,   1,	1
20000,	723,		4,			  1.6,   1,	1
22500,	1199,		4,			  1.6,   1,	1
25000,	1700,		4,			  1.6,   1,	1
27500,	2217,		4,			  1.6,   1,	1
30000,	2750,		4,			  1.6,   1,	1
32500,	3298,		4,			  1.6,   1,	1
35000,	3862,		4,			  1.6,   1,	1
37500,	4442,		4,			  1.6,   1,	1
40000,	5038,		4,			  1.6,   1,	1
42500,	5649,		4,			  1.6,   1,	1
45000,	6277,		4,			  1.6,   1,	1
47500,	6920,		4,			  1.6,   1,	1
50000,	7579,		4,			  1.6,   1,	1
52500,	8254,		4,			  1.6,   1,	1
55000,	8945,		4,			  1.6,   1,	1
57500,	9651,		4,			  1.6,   1,	1
